Info;Testing script B;;;;;;;;
Duration;1;tryFind ;0;;;;poèet;suma èasov;priemer
Duration;6;remove ;6;;;;;;
Duration;14;remove ;5;;;;;;
Duration;5;remove ;4;;;;;;
Duration;12;remove ;3;;;;;;
Duration;1;tryFind ;3;;;;;;
Duration;5;insert ;4;;;;;;
Duration;2;tryFind ;4;;;;;;
Duration;4;insert ;5;;;;;;
Duration;5;remove ;4;;;;;;
Duration;6;remove ;3;;;;;;
Duration;6;remove ;2;;;;;;
Duration;5;remove ;1;;;;;;
Duration;2;insert ;2;;;;;;
Duration;5;insert ;3;;;;;;
Duration;6;remove ;2;;;;;;
Duration;2;insert ;3;;;;;;
Duration;5;remove ;2;;;;;;
Duration;5;remove ;1;;;;;;
Duration;3;remove ;0;;;;;;
Duration;2;insert ;1;;;;;;
Duration;2;insert ;2;;;;;;
Duration;3;insert ;3;;;;;;
Duration;3;insert ;4;;;;;;
Duration;2;tryFind ;4;;;;;;
Duration;20;insert ;5;;;;;;
Duration;6;insert ;6;;;;;;
Duration;3;insert ;7;;;;;;
Duration;14;remove ;6;;;;;;
Duration;3;insert ;7;;;;;;
Duration;4;insert ;8;;;;;;
Duration;7;remove ;7;;;;;;
Duration;3;insert ;8;;;;;;
Duration;3;insert ;9;;;;;;
Duration;4;insert ;10;;;;;;
Duration;4;insert ;11;;;;;;
Duration;5;insert ;12;;;;;;
Duration;8;remove ;11;;;;;;
Duration;3;insert ;12;;;;;;
Duration;7;remove ;11;;;;;;
Duration;15;remove ;10;;;;;;
Duration;4;insert ;11;;;;;;
Duration;3;insert ;12;;;;;;
Duration;7;insert ;13;;;;;;
Duration;3;insert ;14;;;;;;
Duration;7;remove ;13;;;;;;
Duration;6;remove ;12;;;;;;
Duration;6;remove ;11;;;;;;
Duration;8;remove ;10;;;;;;
Duration;13;remove ;9;;;;;;
Duration;5;remove ;8;;;;;;
Duration;1;tryFind ;8;;;;;;
Duration;1;tryFind ;8;;;;;;
Duration;4;insert ;9;;;;;;
Duration;4;insert ;10;;;;;;
Duration;3;insert ;11;;;;;;
Duration;4;insert ;12;;;;;;
Duration;2;insert ;13;;;;;;
Duration;7;remove ;12;;;;;;
Duration;1;tryFind ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;6;remove ;12;;;;;;
Duration;4;insert ;13;;;;;;
Duration;3;insert ;14;;;;;;
Duration;3;insert ;15;;;;;;
Duration;4;insert ;16;;;;;;
Duration;4;insert ;17;;;;;;
Duration;2;tryFind ;17;;;;;;
Duration;2;tryFind ;17;;;;;;
Duration;2;tryFind ;17;;;;;;
Duration;4;insert ;18;;;;;;
Duration;2;tryFind ;18;;;;;;
Duration;4;insert ;19;;;;;;
Duration;4;insert ;20;;;;;;
Duration;25;insert ;21;;;;;;
Duration;25;remove ;20;;;;;;
Duration;23;remove ;19;;;;;;
Duration;4;insert ;20;;;;;;
Duration;3;insert ;21;;;;;;
Duration;9;remove ;20;;;;;;
Duration;21;insert ;21;;;;;;
Duration;7;remove ;20;;;;;;
Duration;4;insert ;21;;;;;;
Duration;4;insert ;22;;;;;;
